# Used to exclude specific moves from the move pool while still optionally letting them stay on their typical card
# This is used to prevent "hardcoded" moves that aren't supported from the ptcgr.randomizer ending up on the wrong cards
# or could be used to remove moves from a playthrough that are deemed too powerful or problematic
#
# The current default contents of this file reflect the moves that are not fully randomizable
#
# Columns:
# Remove from Randomization Pool, Exclude Move from Randomization (i.e. Move stays on card(s)), Card Name/Id, Move Name
True,True,,Ember
True,True,,Flamethrower
True,True,,Fire Blast
True,True,,Flames of Rage
True,True,,Hydro Pump
True,True,,Water Gun
True,True,,Recover
True,True,,Call for Friend
True,True,,Destiny Bond
True,True,,Barrier
True,True,,Boyfriends
True,True,,Sprout
True,True,,Energy Trans
True,True,,Energy Burn
True,True,,Firegiver
True,True,,Rain Dance
True,True,,Peal of Thunder
True,True,,Toxic Gas
True,True,,Clairvoyance
True,True,,Strikes Back
True,True,,Kabuto Armor
True,True,,Prehistoric Power
True,True,,Transparency
True,True,,Neutralizing Shield
True,True,,Retreat Aid
True,True,,Thick Skinned
